salinity,temp,cruise,par,date,lat,lon,SiO4,NO3_NO2,PO4,Fe,PP,chl,MLD
34.588785,16.52333,Gradients 1,0.075395,4/24/16 14:00,32.508275,-157.99527,NA,NA,NA,NA,NA,NA,NA
34.58888938,24.39480796,KM1713,1.434047779,9/21/17 15:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58896653,19.41046021,SR1917,1.649548485,11/19/19 16:00,34.5,-162.5,NA,NA,NA,NA,NA,NA,NA
34.5890378,24.37552805,KM1713,101.4539752,9/21/17 17:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58915536,24.58759554,KM1713,770.8567415,9/20/17 22:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.589195,24.67735,KM1713,113.8951311,9/22/17 3:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58952203,24.4476839,KM1713,788.0509533,9/21/17 23:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58952232,24.382225,KM1713,21.19225971,9/21/17 16:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58978729,24.40875847,KM1713,1.137349297,9/21/17 14:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59000796,24.51243009,KM1713,1.087136717,9/22/17 13:00,34,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.59084622,24.53047143,KM1713,2.076186193,9/22/17 12:00,34,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.59152238,29.07532348,SR1917,1.62,11/9/19 18:00,21.3,156,NA,NA,NA,NA,NA,NA,NA
34.59179332,20.37020733,SR1917,1.62,11/16/19 13:00,33,-177.7,NA,NA,NA,NA,NA,NA,NA
34.59243391,24.53357826,KM1713,765.3498344,9/20/17 21:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59250019,29.00727955,KM1923,0.519609651,12/13/19 9:00,11.1,-155.6,NA,NA,NA,NA,NA,NA,NA
34.592785,24.436155,KM1713,1.404494,9/21/17 13:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59338938,24.46989558,KM1713,678.2716294,9/22/17 0:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59356429,24.55521429,KM1713,2.764401714,9/21/17 4:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59359,24.622285,KM1713,1.16729065,9/22/17 5:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.594215,24.544945,KM1713,1.40449425,9/22/17 11:00,34,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.5945,18.242,KM1502,0,3/26/15 6:00,30.4,-146.4,NA,NA,NA,NA,NA,NA,81.47670129
34.59451336,21.24314524,SR1917,1771.817125,11/15/19 22:00,32,179.6,NA,NA,NA,NA,NA,NA,NA
34.59476713,21.30449116,SR1917,100.5856575,11/16/19 4:00,32.4,-179.3,NA,NA,NA,NA,NA,NA,NA
34.595,18.3855,KM1502,236.391,3/26/15 2:00,31,-145.7,NA,NA,NA,NA,NA,NA,NA
34.59535917,20.48694042,TN398,0.0285,12/25/21 5:00,29.19702583,-137.7624825,NA,NA,NA,NA,NA,NA,NA
34.5954479,24.45823193,KM1713,1.600939655,9/21/17 12:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59555776,24.46668103,KM1713,675.0602694,9/20/17 20:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59575084,21.38240594,SR1917,1431.674654,11/16/19 0:00,32.1,179.9,NA,NA,NA,NA,NA,NA,NA
34.59588283,29.15158006,SR1917,468.8880241,11/8/19 20:00,19.3,152.9,NA,NA,NA,NA,NA,NA,NA
34.59663925,24.6047729,KM1713,1.282275673,9/22/17 7:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.597,18.211,KM1502,0,3/26/15 7:00,30.3,-146.6,NA,NA,NA,NA,NA,NA,NA
34.59709965,29.31494969,SR1917,2120.038235,11/9/19 4:00,20,153.9,NA,NA,NA,NA,NA,NA,NA
34.59736,24.546295,KM1713,2.7278404,9/21/17 5:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59747,21.63520208,Gradients 4,1435.23895,11/22/21 23:00,23.405675,-132.6533647,NA,NA,NA,NA,NA,NA,NA
34.59752101,24.58214622,KM1713,1.596743269,9/22/17 8:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59757794,22.70442704,SR1917,1780.12191,11/22/19 18:00,32.5,-149.3,NA,NA,NA,NA,NA,NA,NA
34.59761132,24.4217717,KM1713,432.1850047,9/20/17 19:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59874615,24.46949402,KM1713,1.374350043,9/21/17 11:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.59891502,28.79261898,SR1917,1.62,11/8/19 16:00,18.9,152.3,NA,NA,NA,NA,NA,NA,NA
34.59914991,25.80095439,Gradients 4,0.020526316,12/1/21 12:00,4.870228947,-140.0001484,NA,NA,NA,NA,NA,NA,NA
34.59946729,21.84159813,TN271,1020.94486,10/30/11 1:00,33.2,-140.7,NA,NA,NA,NA,NA,NA,NA
34.59946961,29.07368324,SR1917,34.44024862,11/9/19 19:00,21.3,156.1,NA,NA,NA,NA,NA,NA,NA
34.59947983,24.48138908,KM1713,0.914822866,9/22/17 14:00,34,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.59969912,24.55109823,KM1713,1.076088363,9/22/17 10:00,34,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.60019167,16.32494352,Gradients 3,1673.363475,4/14/19 2:00,33.929385,-157.99747,NA,NA,NA,NA,NA,NA,19.22129834
34.60075966,24.53886555,KM1713,2.861968966,9/21/17 6:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.60155718,29.10559257,SR1917,12.28188731,11/8/19 19:00,19.2,152.7,NA,NA,NA,NA,NA,NA,NA
34.60160085,24.52463729,KM1713,1.800715093,9/21/17 7:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.60166991,24.48580265,KM1713,1.418580381,9/21/17 10:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.60169576,24.51682712,KM1713,1.398675,9/21/17 8:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.60175172,29.18661874,SR1917,1918.809122,11/9/19 21:00,21.5,156.4,NA,NA,NA,NA,NA,NA,NA
34.60248739,24.50577983,KM1713,1.374332109,9/21/17 9:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.60294561,24.38559737,KM1713,300.3022538,9/20/17 18:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.60425276,29.13539779,SR1917,2273.476964,11/9/19 1:00,19.8,153.6,NA,NA,NA,NA,NA,NA,NA
34.60448587,21.28459518,SR1917,48.82329775,11/15/19 18:00,31.7,178.9,NA,NA,NA,NA,NA,NA,NA
34.60481,24.484415,KM1713,85.0624219,9/22/17 17:00,34,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.60497484,20.3378424,TN398,0.0264,12/25/21 10:00,29.49529571,-136.6001526,NA,NA,NA,NA,NA,NA,NA
34.60498627,22.68877764,SR1917,1133.544035,11/22/19 17:00,32.5,-149.5,11.60091933,0.028970855,0.252049112,2.10E-05,0.001060407,0.050615064,65.21574049
34.60560215,25.10229923,Gradients 4,0.023,11/26/21 7:00,18.51165228,-139.6483567,NA,NA,NA,NA,NA,NA,NA
34.60580442,24.47362035,KM1713,2.616198929,9/22/17 15:00,34,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.60613243,21.74765681,SR1917,1385.710104,11/16/19 1:00,32.2,-179.9,NA,NA,NA,NA,NA,NA,NA
34.60632382,22.45860559,SR1917,1.62,11/23/19 9:00,33.1,-146.3,NA,NA,NA,NA,NA,NA,NA
34.60783461,29.25296791,SR1917,1993.844799,11/9/19 22:00,21.6,156.5,NA,NA,NA,NA,NA,NA,NA
34.60807009,24.36842393,KM1713,122.8272351,9/20/17 17:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.60846998,22.22993528,SR1917,1.62,11/21/19 4:00,32.5,-156,12.3790248,0.205203743,0.264140636,1.53E-05,0.002210134,0.062273442,NA
